詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,頼む,たのむ (tanomu),拜託,この仕事は松本さんに頼んでおきました。
,たばこ,たばこ (tabako),香菸,ここでたばこをすわないでください。
,多分,たぶん (tabun),大概,ミラーさんはたぶん来ないと思います。
,食べ物,たべもの (tabemono),食物,スーパーでいろいろな食べ物を買いました。
,食べる,たべる (taberu),吃,しょくどうでラーメンを食べます。
,卵,たまご (tamago),雞蛋,卵とパンを買います。
,誰,だれ (dare),誰,この人は誰ですか。
,誰か,だれか (dareka),有人,誰かこの傘を忘れましたか。
,誕生日,たんじょうび (tanjoubi),生日,誕生日にプレゼントをもらいました。
,小さい,ちいさい (chiisai),小的,小さいりんごのほうがおいしいですよ。
,近い,ちかい (chikai),近的,あなたの家は学校からちかいですか。
,違う,ちがう (chigau),不同,これはあなたのですか。いいえ、ちがいます。
,近く,ちかく (chikaku),附近,ちかくの公園でお花見をしました。
,地下鉄,ちかてつ (chikatetsu),地下鐵,地下鉄は便利です。
,地図,ちず (chizu),地圖,地図を書きましょうか。
,父,ちち (chichi),父親,父と母は元気です。
,茶色,ちゃいろ (chairo),咖啡色,茶色のコートが欲しいです。
,茶碗,ちゃわん (chawan),碗、飯碗,ちゃわんを洗っています。
,ちょうど,ちょうど (choudo),正好,ああ、ちょうどバスが来ましたよ。
,ちょっと,ちょっと (chotto),稍微,ちょっとまってください。
,使う,つかう (tsukau),使用,この辞書、使ってもいいですか。すみません、ちょっと。
,疲れる,つかれる (tsukareru),疲勞,ああ、疲れましたね。
,次,つぎ (tsugi),下一個,次のバスに乗りましょう。
,着く,つく (tsuku),到達,駅についたら電話します。
,机,つくえ (tsukue),桌子,わたしにへやにはつくえといすがあります。
,作る,つくる (tsukuru),製作,りょうりをつくるまえに、手を洗いましたか。
,つける,つける (tsukeru),打開,電気をつけます。
,勤める,つとめる (tsutomeru),工作,父は銀行につとめています。
,つまらない,つまらない (tsumaranai),無聊的,きのう見たえいがはつまらなかったですね。
,冷たい,つめたい (tsumetai),冷的,冷たいコーヒーが（を）のみたいです。
,強い,つよい (tsuyoi),厲害的,風が強いですね。
,手,て (te),手,手でご飯をたべます。
,テープ,テープ (teepu),膠帶,これはえいごのテープです。
,テープレコーダー,テープレコーダー (teepurekoodaa),錄音機,テープレコーダーはあまり使いません。
,テーブル,テーブル (teeburu),桌子,テーブルの上にしんぶんがあります。
,出かける,でかける (dekakeru),外出,いつも８じにでかけます。
,手紙,てがみ (tegami),信件,姉が英語の手紙を直してくれました。
,できる,できる (dekiru),會、能,わたしは英語ができます。
,出口,でぐち (deguchi),出口,出口はそっちじゃありませんよ。
,テスト,テスト (tesuto),考試、測試,来週はにほんごのテストがあります。
,では（じゃ）,では（じゃ） (deha（ja）),那麼,では、お元気で。
,デパート,デパート (depaato),百貨公司,いつもデパートで洋服を買います。
,でも,でも (demo),但是,とても楽しいです。でも時間がありませんから帰ります。
,出る,でる (deru),出去,大学を出たら父の会社ではたらきます。
,テレビ,テレビ (terebi),電視,まいにちテレビを3じかん見ます。
,天気,てんき (tenki),天氣,あしたはいい天気でしょう。
,電気,でんき (denki),電力,部屋に入ったとき電気がついていました。
,電車,でんしゃ (densha),電車,バスより電車のほうが速いです。
,電話,でんわ (denwa),電話,この電話をつかってください。
,ドア,ドア (doa),門,ドアが開いています。
,トイレ,トイレ (toire),廁所,すみません、トイレはどこですか。
,どう,どう (dou),怎樣,体の調子はどうですか。
,どうして,どうして (doushite),為什麼,どうして早くかえるんですか
,どうぞ,どうぞ (douzo),請,これ、プレゼントです、どうぞ。ありがとうございます。
,動物,どうぶつ (doubutsu),動物,動物を連れて行ってもいいですか。
,どうも,どうも (doumo),實在,どうもありがとうございました。いいえ。
,遠い,とおい (tooi),遠的,家から学校まで遠いですか。
,とき,とき (toki),時候,ひとりでさびしいとき、どうしますか。
,時々,どきどき (dokidoki),有時候,ときどきおじさんの家へあそびにいきます。
,時計,とけい (tokei),時鐘,このとけいはいくらですか。
,どこ,どこ (doko),哪裡,銀行はどこですか。
,所,ところ (tokoro),場所、地點,どんなところへ行きたいですか。
,年,とし (toshi),年,山に登ったら疲れました、わたしもとしをとりました。
,図書館,としょかん (toshokan),圖書館,としょかんは夜１０じまでです。
,どちら,どちら (dochira),哪邊,コーヒーとこうちゃとどちらがいいですか。
,どっち,どっち (dotchi),哪邊,コーヒーとこうちゃ、どっちがいい？
,とても,とても (totemo),非常,このパソコンはとても軽いです。
,どなた,どなた (donata),哪位,あのかたはどなたですか。
,隣,となり (tonari),鄰近、鄰居,ぎんこうのとなりに郵便局があります。
