詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,一番,いちばん (ichiban),最~,一年でいつがいちばん忙しいですか。
,いつ,いつ (itsu),什麼時候,あなたのたんじょうびはいつですか。
,五日,いつか (itsuka),五天,十二月五日
,一緒,いっしょ (issho),一起,母といっしょにデパートへ行きました。
,五つ,いつつ (itsutsu),五個,りんごをいつつください。
,いつも,いつも (itsumo),總是、經常,朝ごはんはいつもパンとコーヒーです。
,犬,いぬ (inu),狗,いぬとねことどちらが好きですか。
,今,いま (ima),馬上,いまなんじですか。
,意味,いみ (imi),意思,このことばのいみをおしえてください。
,妹,いもうと (imouto),妹妹,妹さんはおいくつですか。
,嫌,いや (iya),討厭,いやなら来なくていいです。
,入り口,いりぐち (iriguchi),入口,入り口はこちらです。
,居る,いる (iru),居住,ここに学生がなんにんいますか。
,要る,いる (iru),需要,パスポートがいります。
,入れる,いれる (ireru),放入,ここにカードを入れてください。
,色,いろ (iro),顏色,どの色がいいですか。
,色々,いろいろ (iroiro),各式各樣,机の上にいろいろな物があります。いろいろありがとうございました。
,上,うえ (ue),上面,上から下までよく見てください。
,後ろ,うしろ (ushiro),後面,教室の後ろに何がありますか。
,薄い,うすい (usui),薄的,このノートは薄いですね。
,歌,うた (uta),歌曲,田中さんは歌が上手です。
,歌う,うたう (utau),唱歌,英語の歌を歌うことができますか。
,家,うち (uchi),家,わたしのうちはここです。　家（いえ/うち）
,生まれる,うまれる (umareru),出生,こどもが生まれました。
,海,うみ (umi),海洋,毎年なつは海と山へ行きます。
,売る,うる (uru),販售,どこで日本の新聞を売っていますか。
,煩い,うるさい (urusai),吵,となりの部屋はうるさいです。
,上着,うわぎ (uwagi),上衣、外套,寒いですから、うわぎをきます。
,絵,え (e),畫,先生に絵をならいます。
,映画,えいが (eiga),電影,わたしのしゅみはえいがをみることです。
,映画館,えいがかん (eigakan),電影院,えいがかんでえいがを見ます。
,英語,えいご (eigo),英語,英語を話すことができます。
,ええ,ええ (ee),嗯、是,じゃ、またあした。ええ、また。
,駅,えき (eki),車站,駅から１３２番のバスがあります。
,エレベーター,エレベーター (erebeetaa),電梯,疲れましたからエレベーターを使いましょう。
,～円,～えん (en),日圓,ぜんぶで100円です。
,鉛筆,えんぴつ (enpitsu),鉛筆,先生、鉛筆で書いてもいいですか。
,美味しい,おいしい (oishii),美味,母はいつもおいしい料理をつくってくれます。
,多い,おおい (ooi),多,土曜日と日曜日は人が多いです。
,大きい,おおきい (ookii),大,旅行へ行きますから大きいかばんを買いました。
,大勢,おおぜい (oozei),眾多,人が大勢います。
,お母さん,おかあさん (okaasan),媽媽,お母さんは忙しいから、あっち行って。
,お菓子,おかし (okashi),點心,おばあちゃんはぼくにお菓子をくれます。
,お金,おかね (okane),金錢,お金が欲しいです。
,起きる,おきる (okiru),起來、起床,あさ７じにおきました。
,置く,おく (oku),放置、放下,荷物はそこにおいてください。
,奥さん,おくさん (okusan),太太,となりのおくさんは背が高いです。
,お酒,おさけ (osake),酒,お酒を飲んだら車を運転してはいけません。
,お皿,おさら (osara),盤子,このお皿はすてきですね。
,おじさん,おじさん (ojisan),伯父,おじはアメリカに住んでいます。
