詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,終わる,おわる (owaru),結束,銀行は３じにおわります。
,音楽,おんがく (ongaku),音樂,わたしのしゅみはおんがくです。
,女,おんな (onna),女人,あの女の人はだれですか。
,女の子,おんなのこ (onnanoko),女孩,ちいさい女の子がいます。
,～回,～かい (kai),~次,６回（ろっかい）８回（はっかい）
,～階,～かい (kai),~樓,何階（なんがい）
,外国,がいこく (gaikoku),國外,外国へ行ったことがありません。ぜひ行きたいです。
,外国人,がいこくじん (gaikokujin),外國人,外国人登録へ行きました。
,会社,かいしゃ (kaisha),公司,大学を出たら父の会社ではたらきます。
,階段,かいだん (kaidan),樓梯,あの階段の後ろにでんわがあります。
,買い物,かいもの (kaimono),購物,にちようびはははとかいものにいきます。
,買う,かう (kau),買,えきでぎゅうにゅうをかいました。
,返す,かえす (kaesu),歸還,お金をかえしてください。
,帰る,かえる (kaeru),返回,約束がありますから、きょうは早くかえります。
,顔,かお (kao),臉,オウさんは顔が小さいです。
,掛かる,かかる (kakaru),需要、花費,時間がかかる　　お金がかかる
,鍵,かぎ (kagi),鑰匙,これは家のかぎです。
,書く,かく (kaku),寫,ここになまえとじゅうしょをかいてください。
,学生,がくせい (gakusei),學生,わたしは学生です。
,～か月,～かげつ (kagetsu),~個月,船でアメリカへ行きました。１かげつかかりました。
,掛ける,かける (kakeru),帶、打電話,眼鏡をかける
,傘,かさ (kasa),雨傘,雨がふっています。この傘、どうぞ。
,貸す,かす (kasu),借出,すみません、このじしょをかしてください。
,風邪,かぜ (kaze),感冒,風邪ですね、きょうはおふろに入らないでください。
,風,かぜ (kaze),風,風が吹いています。
,家族,かぞく (kazoku),家族,かぞくは日本にいます。
,方,かた (kata),位,この方
,片仮名,かたかな (katakana),片假名,かたかなが分かりません。
,～月,～がつ (gatsu),幾月,９月（くがつ）
,学校,がっこう (gakkou),學校,学校へ行きます。
,カップ,カップ (kappu),杯子,わあ、すてきなコーヒーカップですね。
,家庭,かてい (katei),家庭,家庭はたいせつです。
,角,かど (kado),轉角,あの角を右へまがってください。
,鞄,かばん (kaban),包包,かばんのなかに辞書が２さつあります。
,花瓶,かびん (kabin),花瓶,かびんがわれています。
,被る,かぶる (kaburu),戴,外はさむいですからぼうしをかぶったほうがいいです。
,紙,かみ (kami),紙,これはかみを切るはさみです。
,カメラ,カメラ (kamera),相機,これは新しいカメラです。
,火曜日,かようび (kayoubi),星期二,あすは火曜日です。
,辛い,からい (karai),辣的,辛い食べ物をたべることができますか。
,体,からだ (karada),身體,からだにいいですから毎日うんどうします。
,借りる,かりる (kariru),借,図書館の本は２しゅうかんかりることができます。
,軽い,かるい (karui),輕的,このパソコンはかるくていいです。
,カレー,カレー (karee),咖哩,母のつくったカレーはおいしいです。
,カレンダー,カレンダー (karendaa),月曆,壁にカレンダーがかかっています。
,川・河,かわ (kawa),河,あの川の向こうに学校があります。
,～側,～がわ (gawa),旁邊,左側に富士山が見えます。
,かわいい,かわいい (kawaii),可愛的,わあ、かわいいあかちゃんですね。
,漢字,かんじ (kanji),漢字,すみません、このかんじのよみかたを教えてください。
,木,き (ki),樹木,あの木の下で休みましょう。
,黄色,きいろ (kiiro),黃色,すみません、その黄色のはいくらですか。
,黄色い,きいろい (kiiroi),黃色的,公園の緑が黄色くなりました。
,消える,きえる (kieru),消失,台風で電気がきえました。
,聞く,きく (kiku),聽,毎日ラジオでニュースをききます。
,北,きた (kita),北方,北の国は寒いです。
,ギター,ギター (gitaa),吉他,ギターがひけるようになりました。
,汚い,きたない (kitanai),髒的,部屋が汚くなりました。
,喫茶店,きっさてん (kissaten),咖啡店,暑いですね、きっさてんでお茶でものみましょう。
,切手,きって (kitte),郵票,50円の切手を５まいください。
,切符,きっぷ (kippu),票券,電車の切符はどこでうっていますか。
,昨日,きのう (kinou),昨天,きのうはあつかったです。
,牛肉,ぎゅうにく (gyuuniku),牛肉,わたしは牛肉がすきです。
,牛乳,ぎゅうにゅう (gyuunyuu),牛奶,朝ごはんはいつもパンとぎゅうにゅうです。
,今日,きょう (kyou),今天,きょうはミラーさんのたんじょうびです。
,教室,きょうしつ (kyoushitsu),教室,きょうしつに学生が６０人います。
,兄弟,きょうだい (kyoudai),兄弟,きょうだいはいますか。
,去年,きょねん (kyonen),去年,わたしはきょねんかぞくと日本へ来ました。
,嫌い,きらい (kirai),討厭、不喜歡,わたしは魚がきらいではありません。
,切る,きる (kiru),剪,これは紙をきるはさみです。
,着る,きる (kiru),穿,北海道のふゆはコートをきても寒いです。
,綺麗,きれい (kirei),漂亮的,きれいな花をははにあげました。
,キロ／キログラム,キロ／キログラム (kiro／kiroguramu),公斤,いっしゅうかんで5キロやせました。
,銀行,ぎんこう (ginkou),銀行,銀行は３じにおわります。
,金曜日,きんようび (kin'youbi),星期五,あすは金曜日です。
,薬,くすり (kusuri),藥,おなかがいたいですから、くすりをのみました。
,ください,ください (kudasai),請~,すみません、これをください。
,果物,くだもの (kudamono),水果,くだものはからだにいいです。
,口,くち (kuchi),嘴巴,あのネコは口がおおきいですね。
,靴,くつ (kutsu),鞋子,わたしの趣味はくつをあつめることです。
,靴下,くつした (kutsushita),襪子,山にのぼりますから、くつしたをはきました。
